n_conv_layers,n_linear_layers,hidden_size,validation_loss,Test_loss
2,0,32,0.03007918190892919,0.02443012036383152
2,1,32,0.09470406954642385,0.08346692472696304
3,0,32,0.022107497637210014,0.012735119089484215
3,1,32,0.02630632056389004,0.016318198293447495
4,0,32,0.020641625285082097,0.014097715727984905
4,1,32,0.027890132972450892,0.016604123637080193
2,0,64,0.031970036567405,0.023825762793421745
2,1,64,0.09471167570778302,0.12590980529785156
3,0,64,0.022672923701715524,0.013128824532032013
3,1,64,0.033478674807286425,0.022899698466062546
4,0,64,0.022154310314882814,0.015593493357300758
4,1,64,0.029513135423517918,0.020371705293655396
